id	nev	hosszusag	szelesseg
1	Tornanádaska	1247,21	2913,74
2	Hidvégardó	1250,34	2913,59
3	Pusztafalu	1289,32	2912,77
4	Kéked	1281,07	2912,76
5	Komjáti	1245,78	2912,73
6	Hollóháza	1284,81	2912,54
7	Bódvalenke	1248,28	2912,53
8	Füzér	1287,41	2912,37
9	Bódvaszilas	1243,97	2912,24
10	Becskeháza	1250,23	2911,76
11	Pányok	1281,02	2911,74
12	Abaújvár	1278,99	2911,59
13	Tornaszentjakab	1252,27	2911,39
14	Szögliget	1240,85	2911,38
15	Tornaszentandrás	1246,77	2911,29
16	Tornyosnémeti	1275,34	2911,29
17	Füzérkajata	1290,11	2911,16
18	Kány	1260,93	2910,87
19	Füzérkomlós	1287,34	2910,73
20	Bódvarákó	1244,31	2910,56
21	Hidasnémeti	1273,82	2910,22
22	Perecse	1259,27	2910,15
23	Zsujta	1276,8	2910,04
24	Debréte	1252,03	2910,03
25	Keresztéte	1257,03	2910,01
26	Nyíri	1286,67	2909,94
27	Szin	1239,87	2909,88
28	Viszló	1253,14	2909,8
29	Vilyvitány	1293,5	2909,78
30	Filkeháza	1289,61	2909,67
31	Pamlény	1255,84	2909,63
32	Felsőregmec	1296,39	2909,43
33	Szinpetri	1237,65	2909,17
34	Telkibánya	1281,51	2909,14
35	Hernádszurdok	1272,39	2908,98
36	Jósvafő	1233,21	2908,95
37	Hernádpetri	1269,71	2908,94
38	Füzérradvány	1291,81	2908,87
39	Büttös	1260,89	2908,72
40	Bózsva	1288,2	2908,53
41	Perkupa	1241,34	2908,39
42	Pálháza	1290,68	2908,31
43	Gönc	1276,36	2908,3
44	Szászfa	1256,59	2908,26
45	Krasznokvajda	1258,31	2908,24
46	Pusztaradvány	1268,1	2908,14
47	Martonyi	1246,14	2908,12
48	Aggtelek	1230,42	2908,1
49	Alsóregmec	1297,1	2907,96
50	Varbóc	1238,75	2907,86
51	Rakaca	1253,27	2907,77
52	Rakacaszend	1250,28	2907,75
53	Tornakápolna	1237,09	2907,73
54	Mikóháza	1295,48	2907,66
55	Kovácsvágás	1291,72	2907,29
56	Szalonna	1244,43	2907,06
57	Göncruszka	1274,5	2907,03
58	Kishuta	1288,92	2906,82
59	Teresztenye	1236,38	2906,8
60	Égerszög	1235,29	2906,62
61	Szőlősardó	1237,67	2906,61
62	Hernádvécse	1270,18	2906,43
63	Tornabarakony	1249,66	2906,38
64	Galvács	1257,79	2906,33
65	Meszes	1247,81	2906,3
66	Csenyéte	1262,53	2906,05
67	Gagybátor	1257,04	2906,02
68	Nagyhuta	1289,6	2905,85
69	Fulókércs	1266,45	2905,73
70	Gagyvendégi	1258,53	2905,72
71	Kánó	1235,97	2905,7
72	Felsőgagy	1260,77	2905,63
73	Trizs	1229,69	2905,57
74	Hejce	1277,08	2905,51
75	Vágáshuta	1292,37	2905,41
76	Fáj	1264,65	2905,32
77	Gesztely	1252,84	2905,32
78	Imola	1233,15	2905,23
79	Garadna	1270,44	2905,16
80	Vilmány	1273,96	2904,97
81	Szuhafő	1227,14	2904,6
82	Záhony	1331,38	2904,59
83	Alsótelekes	1239,39	2904,53
84	Gagyapáti	1260,12	2904,52
85	Felsőtelekes	1238,21	2904,44
86	Alsógagy	1261,46	2904,4
87	Ragály	1231,21	2904,39
88	Abaújlak	1257,45	2904,35
89	Gadna	1255,78	2904,05
90	Szendrő	1244,01	2904,04
91	Zsurk	1333,4	2903,93
92	Irota	1252,61	2903,85
93	Novajidrány	1270,07	2903,81
94	Sátoraljaújhely	1299,34	2903,8
95	Sárospatak	1299,38	2903,7
96	Regéc	1280,2	2903,64
97	Abod	1247,65	2903,6
98	Fony	1277,15	2903,5
99	Zádorfalva	1229,33	2903,23
100	Szuhogy	1240,63	2903,15
101	Vizsoly	1272,97	2903,12
102	Szalaszend	1267,66	2903,11
103	Győröcske	1329,22	2903,07
104	Jéke	1329,22	2903,07
105	Szakácsi	1251,76	2902,93
106	Zubogy	1234,69	2902,81
107	Háromhuta	1285,82	2902,72
108	Korlát	1274,74	2902,72
109	Tiszaszentmárton	1333,47	2902,72
110	Mogyoróska	1279,54	2902,67
111	Dámóc	1322,48	2902,63
112	Rudabánya	1237,23	2902,57
113	Baktakék	1261,95	2902,49
114	Alsószuha	1230,32	2902,42
115	Gömörszőlős	1225,7	2902,42
116	Abaújszolnok	1258,63	2902,35
117	Nyésta	1257,12	2902,31
118	Felsővadász	1255,37	2902,28
119	Lácacséke	1319,49	2901,97
120	Tiszabezdéd	1329,16	2901,7
121	Felsőberecki	1301,66	2901,64
122	Felsőkelecsény	1235,66	2901,64
123	Méra	1269,23	2901,56
124	Makkoshotyka	1291,17	2901,52
125	Zemplénagárd	1324,82	2901,49
126	Arka	1275,26	2901,42
127	Kelemér	1225,76	2901,34
128	Fancsal	1263,96	2901,3
129	Szemere	1281,98	2901,16
130	Semjén	1318,38	2901,04
131	Hernádcéce	1271,54	2901,01
132	Dövény	1232,77	2900,93
133	Lak	1252,22	2900,91
134	Kisrozvágy	1316,35	2900,88
135	Eperjeske	1332,82	2900,78
136	Beret	1261,43	2900,71
137	Ládbesenyő	1247,29	2900,65
138	Alsóberecki	1301,47	2900,61
139	Komlóska	1287,81	2900,58
140	Tuzsér	1327,26	2900,58
141	Baskó	1280,21	2900,55
142	Szendrőlád	1244,79	2900,44
143	Boldogkőváralja	1274,27	2900,4
144	Selyeb	1257,28	2900,33
145	Nagyrozvágy	1315,72	2900,27
146	Karcsa	1307,33	2900,06
147	Detek	1261,14	2900,05
148	Jákfalva	1234,34	2900,03
149	Hercegkút	1291,97	2899,98
150	Kupa	1254,94	2899,95
151	Ormosbánya	1239,07	2899,95
152	Hegymeg	1251,74	2899,93
153	Encs	1267,17	2899,87
154	Karos	1304,64	2899,75
155	Pácin	1310,15	2899,74
156	Felsőnyárád	1235,95	2899,72
157	Lónya	1336	2899,63
158	Tomor	1253,03	2899,62
159	Ricse	1318,29	2899,55
160	Forró	1265,23	2899,43
161	Révleányvár	1322,53	2899,42
162	Tiszamogyorós	1333,91	2899,29
163	Balajt	1247,11	2899,24
164	Vajdácska	1299,38	2899,19
165	Mándok	1331,04	2899,18
166	Edelény	1245,45	2899,09
167	Boldogkőújfalu	1274,57	2899,08
168	Damak	1249,34	2899,05
169	Erdőhorváti	1285,69	2898,89
170	Izsófalva	1239,29	2898,68
171	Rudolftelep	1240,36	2898,64
172	Kurityán	1237,64	2898,63
173	Serényfalva	1223,27	2898,6
174	Rásonysápberencs	1259,96	2898,57
175	Abaújkér	1272,08	2898,47
176	Monaj	1256,28	2898,43
177	Abaújalpár	1274,14	2898,37
178	Komoró	1327,04	2898,24
179	Benk	1333,89	2898,04
180	Bodroghalom	1302,41	2898
181	Bánréve	1221,35	2897,93
182	Sima	1278,23	2897,93
183	Hernádbűd	1268,26	2897,76
184	Sajógalgóc	1231,91	2897,64
185	Léh	1258,9	2897,45
186	Putnok	1226,18	2897,45
187	Hernádszentandrás	1265,69	2897,41
188	Hangács	1249,96	2897,39
189	Szabolcsveresmart	1321,2	2897,34
190	Sajókaza	1235,14	2897,2
191	Ináncs	1264,19	2897,12
192	Bodrogolaszi	1291,01	2897,1
193	Dubicsány	1229,61	2897,07
194	Pere	1267,41	2897,06
195	Tolcsva	1287,02	2897,05
196	Mátyus	1337,1	2897
197	Hét	1223,32	2896,99
198	Szuhakálló	1239,29	2896,94
199	Csobád	1261,64	2896,88
200	Sajópüspöki	1220,57	2896,85
201	Homrogd	1254,97	2896,81
202	Abaújszántó	1271,18	2896,74
203	Nyomár	1249,28	2896,58
204	Kázsmárk	1258,64	2896,53
205	Fényeslitke	1326,16	2896,48
206	Mezőladány	1333,32	2896,39
207	Sajóvelezd	1227,78	2896,37
208	Vadna	1233,35	2896,37
209	Sárazsadány	1290,05	2896,31
210	Aranyosapáti	1330,95	2896,29
211	Tornyospálca	1330,95	2896,29
212	Múcsony	1240,93	2896,25
213	Sajónémeti	1222,95	2896,25
214	Sajóivánka	1234,75	2895,97
215	Erdőbénye	1281,18	2895,91
216	Borsodszirák	1246,1	2895,86
217	Döge	1324,41	2895,66
218	Tiszakerecseny	1338,07	2895,61
219	Felsődobsza	1264,7	2895,52
220	Cigánd	1313,33	2895,44
221	Vámosújfalu	1287,24	2895,4
222	Kazincbarcika	1238,29	2895,24
223	Kékcse	1320,61	2895,11
224	Tiszakanyár	1317,81	2895,11
225	Kiskinizs	1262,24	2895,1
226	Ziliz	1247,54	2895
227	Halmaj	1260,05	2894,92
228	Nagybarca	1231,84	2894,89
229	Sajómercse	1224,92	2894,88
230	Újkenéz	1333,49	2894,88
231	Olaszliszka	1285,84	2894,6
232	Hernádkércs	1263,17	2894,58
