allovizid	gpsid
61	2862
2	2862
141	1311
167	921
218	48
32	1608
83	2088
196	2691
98	405
20	1110
66	299
56	1669
194	2585
48	2622
166	829
55	3067
72	2873
72	2814
155	2684
155	2767
100	2092
100	1838
100	2865
100	2102
100	2100
100	1986
100	1790
100	2234
100	2150
100	2108
100	2233
100	2034
100	1884
100	2169
100	1779
100	2247
100	2136
100	2240
100	2105
100	2076
100	2073
100	2103
100	2252
100	2031
100	1958
100	1860
100	431
100	2820
100	1858
100	379
100	2197
100	2329
100	2154
100	1746
100	2155
100	2041
100	1943
100	3068
100	1844
100	2075
100	2062
100	1951
100	1287
100	2632
100	2014
100	2122
100	1950
100	2174
100	1422
100	1990
100	1999
53	640
22	2816
188	1987
157	2270
101	3027
28	1866
57	1406
29	2615
62	2943
108	1178
220	629
243	956
165	2176
84	2770
174	2308
169	1353
42	1889
232	1671
232	1646
210	2363
210	2344
114	1162
110	983
41	2914
151	1156
69	2896
105	2915
216	1952
7	2229
13	382
8	599
52	2982
65	1505
3	1505
102	2645
102	2550
116	1696
95	2849
211	1008
123	2350
140	2535
180	1127
86	1493
16	591
195	1454
36	2020
36	1993
191	1192
120	910
120	983
67	1860
67	995
67	1017
67	1013
67	888
67	1021
67	1014
67	1009
67	1035
67	998
67	936
229	2761
129	2259
129	2332
129	2344
146	1001
146	1015
106	2067
35	1042
70	1192
117	2764
103	2826
1	2113
1	2229
178	1821
150	382
94	899
92	1885
92	1956
224	1000
234	2565
234	2580
206	645
130	980
130	1018
130	955
97	980
97	1018
238	1938
68	651
26	2864
89	2126
18	1071
203	777
133	1245
59	2250
59	2366
122	937
228	603
240	3029
204	2488
112	2823
112	2863
182	1166
119	2498
126	1469
126	1596
139	2086
163	1574
39	3112
107	2367
107	2281
187	2367
187	2379
187	2341
187	2311
187	2281
38	2508
38	2602
50	2568
43	2529
212	2493
93	2111
149	659
19	2851
185	2779
231	2839
115	2913
135	2585
87	641
87	653
138	3027
184	2805
17	2706
79	699
207	242
207	256
200	566
45	714
145	2850
177	1012
81	524
81	528
81	3104
54	2796
134	2913
88	1980
137	524
137	528
137	3104
197	752
51	2846
75	810
76	2770
118	95
219	2924
132	929
239	2499
156	1392
24	2778
78	956
198	2943
208	2943
25	2664
23	993
113	2011
142	358
230	2270
127	2796
189	1024
60	788
109	1192
205	910
152	521
27	357
64	363
214	2864
223	712
71	2581
176	799
30	3068
6	791
90	937
170	1476
34	2864
15	1821
227	1026
160	2232
162	1018
73	2187
242	2263
186	2427
46	1630
11	51
202	189
96	2998
77	2785
236	112
179	1473
209	852
154	2637
74	1824
12	1865
44	1502
215	809
99	1027
143	2897
14	2696
222	1997
153	1609
193	2731
244	1859
159	492
245	2018
121	2770
47	2451
85	1382
91	2318
237	2318
58	983
104	914
10	505
183	1917
164	487
161	741
33	1200
33	1166
33	977
33	1020
144	2033
63	2575
233	2575
168	372
201	2645
9	561
158	2016
136	2392
175	519
37	164
82	1192
124	1573
128	2463
80	1523
235	1569
235	1554
235	1522
235	1523
49	2770
173	2284
40	36
125	1997
225	2212
31	1416
241	1661
