marka;tipus;evjarat;km;ar
Isuzu;Trooper;1998;197595;9200
Ferrari;458 Italia;2014;102921;33300
Ford;Focus;2012;211765;61100
Dodge;Ram Van 3500;2002;268748;66500
Volvo;V70;2008;56317;103900
Mazda;MX-5;2000;176556;98100
Austin;Mini Cooper S;1966;79212;44400
Volvo;V70;2004;14558;74400
Audi;riolet;2000;52433;85800
Mitsubishi;Eclipse;2015;102243;94000
Mercury;Cougar;1994;145934;10000
Toyota;Prius;2006;15213;31300
Mitsubishi;Eclipse;2015;91288;99000
Suzuki;SX4;2015;116925;38300
Cadillac;Escalade ESV;2012;111041;97200
Chevrolet;Volt;2014;256786;106300
Lexus;LX;2006;52948;80100
Toyota;Tundra;2003;85744;30400
Nissan;Xterra;2012;29309;92600
Acura;TSX;2011;212169;78900
Jeep;Grand Cherokee;2001;10932;29800
Volvo;V70;2005;278262;108900
Mitsubishi;Mirage;1997;267472;12300
Ford;Mustang;2004;103973;105300
Mercedes-Benz;S-Class;1999;103940;15900
Ford;Fairlane;1970;257827;87100
Hyundai;Tiburon;2011;39143;57600
Chevrolet;Suburban 1500;2010;286786;11000
Acura;RL;2010;207240;25600
Cadillac;CTS;2015;213566;18600
Mazda;929;1995;116339;50200
Volvo;V70;2012;93973;78200
Chevrolet;Cobalt SS;2012;164026;21700
Aston Martin;DBS;2012;276787;4200
Dodge;Stratus;1999;13088;38800
GMC;Sierra 1500;2006;114198;54100
Acura;RL;2013;152976;41500
Mitsubishi;Lancer Evolution;2008;174776;50000
Mazda;626;2005;201525;70700
Ford;Excursion;2003;55969;29500
Mercedes-Benz;500SEC;1996;84667;109800
Oldsmobile;98;1995;111125;87100
Dodge;Ram 1500;2005;264834;16300
Suzuki;Samurai;1996;110173;69700
Mitsubishi;Diamante;2007;235547;22500
Audi;4000CS Quattro;1989;229066;91200
Chrysler;LeBaron;1995;136129;51800
Pontiac;Turbo Firefly;1991;101796;58600
Mitsubishi;Mirage;2003;226052;41700
Toyota;4Runner;2002;55946;19800
Nissan;Murano;2014;91203;89800
Porsche;944;1990;253798;58800
Porsche;Cayenne;2006;284867;107100
Nissan;Altima;1997;164965;89900
Saab;03.szept;2003;176402;102600
Buick;LaCrosse;2009;129073;74300
Chevrolet;Malibu;2013;40745;60600
Nissan;Pathfinder;2015;230271;101600
Chevrolet;Malibu Maxx;2009;46376;47000
Dodge;Ram Van 3500;2001;293002;10700
Ford;F250;2011;127567;87500
Chevrolet;Impala;1997;144768;107000
Porsche;911;2003;56478;84600
Chevrolet;Corvette;1971;64304;88000
Buick;Regal;1996;262947;91800
Chevrolet;Suburban 2500;2010;59590;49300
GMC;Savana 1500;2015;61763;98300
Jeep;Grand Cherokee;2011;60870;102400
Mercedes-Benz;E-Class;1993;264286;40400
Nissan;Xterra;2003;151189;81600
Mazda;MX-5;2015;156923;79900
Pontiac;Daewoo Kalos;2008;120533;108900
Hyundai;Elantra;2007;213909;114900
Nissan;Titan;2013;84242;44700
Mazda;Mazdaspeed 3;2014;74680;45400
