id	darab	teljesitmeny	kezdev	helyszinid
1	1	250	2000	1
2	1	600	2001	2
3	2	600	2002	3
4	2	600	2003	4
5	1	225	2005	5
6	1	800	2005	6
7	1	800	2005	7
8	1	1800	2005	8
9	1	600	2005	9
10	5	2000	2005	4
11	1	1500	2006	11
12	1	1500	2006	12
13	5	2000	2006	4
14	1	1800	2006	14
15	2	2000	2006	15
16	1	600	2006	16
17	12	2000	2006	17
18	1	800	2007	3
19	1	800	2007	19
20	1	800	2007	20
21	1	2000	2007	21
22	4	3000	2008	22
23	3	3000	2008	23
24	1	2000	2008	23
25	12	2000	2008	17
26	4	2000	2008	25
27	1	1800	2008	25
28	1	2000	2008	26
29	1	2000	2008	27
30	1	850	2008	28
31	19	2000	2009	29
32	8	2000	2009	30
33	4	1800	2010	30
34	1	1800	2010	30
35	6	2000	2010	31
36	7	2000	2010	32
37	6	2000	2010	26
38	2	2000	2010	32
39	6	2000	2010	35
40	1	3000	2010	35
41	1	2000	2010	25
42	4	2000	2011	37
43	13	2000	2011	37
44	1	2000	2010	38
